"Lake","FENZID","TLIYear","TLI","MixingPattern","GeomorphicType"
"lake hawdon mid lake",48669,2013,3.3,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2014,2.6,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2015,3.5,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2016,3,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2017,4.1,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2018,3.3,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2019,3.4,"Polymictic","Glacial"
"lake pearson north basin",48660,2004,1.5,"Polymictic","Glacial"
"lake pearson north basin",48660,2005,1.9,"Polymictic","Glacial"
"lake pearson north basin",48660,2006,2.3,"Polymictic","Glacial"
"lake pearson north basin",48660,2007,3,"Polymictic","Glacial"
"lake pearson north basin",48660,2008,3.3,"Polymictic","Glacial"
"lake pearson north basin",48660,2009,3.1,"Polymictic","Glacial"
"lake pearson north basin",48660,2010,2.8,"Polymictic","Glacial"
"lake pearson north basin",48660,2011,2.8,"Polymictic","Glacial"
"lake pearson north basin",48660,2012,2.8,"Polymictic","Glacial"
"lake pearson north basin",48660,2013,2.7,"Polymictic","Glacial"
"lake pearson north basin",48660,2014,3.6,"Polymictic","Glacial"
"lake pearson north basin",48660,2015,4,"Polymictic","Glacial"
"lake pearson north basin",48660,2016,3.9,"Polymictic","Glacial"
"lake pearson north basin",48660,2017,3.8,"Polymictic","Glacial"
"lake pearson north basin",48660,2018,3.6,"Polymictic","Glacial"
"lake pearson north basin",48660,2019,3.9,"Polymictic","Glacial"
"kellands pond second point",45501,2013,3.7,"Polymictic","Artificial"
"kellands pond second point",45501,2014,3.3,"Polymictic","Artificial"
"kellands pond second point",45501,2015,3.6,"Polymictic","Artificial"
"kellands pond second point",45501,2016,3.7,"Polymictic","Artificial"
"kellands pond second point",45501,2017,3.7,"Polymictic","Artificial"
"kellands pond second point",45501,2018,3.4,"Polymictic","Artificial"
"kellands pond second point",45501,2019,3.4,"Polymictic","Artificial"
"lake sarah mid lake",48673,2004,1.9,"Polymictic","Glacial"
"lake sarah mid lake",48673,2005,2.6,"Polymictic","Glacial"
"lake sarah mid lake",48673,2006,2.8,"Polymictic","Glacial"
"lake sarah mid lake",48673,2007,2.8,"Polymictic","Glacial"
"lake sarah mid lake",48673,2008,2.8,"Polymictic","Glacial"
"lake sarah mid lake",48673,2009,3.2,"Polymictic","Glacial"
"lake sarah mid lake",48673,2010,3.3,"Polymictic","Glacial"
"lake sarah mid lake",48673,2011,4,"Polymictic","Glacial"
"lake sarah mid lake",48673,2012,2.9,"Polymictic","Glacial"
"lake sarah mid lake",48673,2013,3.1,"Polymictic","Glacial"
"lake sarah mid lake",48673,2014,3.2,"Polymictic","Glacial"
"lake sarah mid lake",48673,2015,2.9,"Polymictic","Glacial"
"lake sarah mid lake",48673,2016,2.9,"Polymictic","Glacial"
"lake sarah mid lake",48673,2017,3.3,"Polymictic","Glacial"
"lake sarah mid lake",48673,2018,3.6,"Polymictic","Glacial"
"lake sarah mid lake",48673,2019,3.3,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2004,2.1,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2005,2.3,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2006,2.6,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2007,2.9,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2008,3,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2009,3.3,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2010,3.2,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2011,3.7,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2012,3.4,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2013,3.3,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2014,3,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2015,3.2,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2016,3.3,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2017,3.5,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2018,3.5,"Polymictic","Glacial"
"lake grasmere mid lake",48663,2019,3.3,"Polymictic","Glacial"
"lake ellesmere mid-lake",48177,2004,7,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2005,6.8,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2006,7.1,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2007,6.9,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2008,7,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2009,7.3,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2010,6.7,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2011,6.4,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2012,6.7,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2013,6.2,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2014,7.1,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2015,7.2,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2016,6.9,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2017,6.8,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2018,6.9,"Icoll","Shoreline"
"lake ellesmere mid-lake",48177,2019,6.9,"Icoll","Shoreline"
