"LawaSiteID","Year","Measurement","Value","LFENZID","SiteID","Agency","Region","Long","Lat","LType","GeomorphicLType"
"ebop-00091",2007,"TLI",NA,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2008,"TLI",NA,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2009,"TLI",4.3965989321204,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2010,"TLI",4.36881568433142,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2011,"TLI",4.15082801539048,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2012,"TLI",4.0819921089894,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2013,"TLI",3.82784632930181,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2014,"TLI",3.94977290781354,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2015,"TLI",4.4075526304852,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2016,"TLI",4.60165576515466,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2017,"TLI",4.67534814526317,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
