"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-102586","M36/5128","Ammoniacal nitrogen","2015-10-15","2019-12-03","5","0.005","0.033"
"LAWA-102586","M36/5128","Chloride","2015-10-15","2019-12-03","5","7.5","26"
"LAWA-102586","M36/5128","Dissolved reactive phosphorus","2015-10-15","2019-12-03","5","0.008","0.0137"
"LAWA-102586","M36/5128","E.coli","2015-10-15","2019-12-03","5","0.5","0.5"
"LAWA-102586","M36/5128","Electrical conductivity/salinity","2015-10-15","2019-12-03","5","146","368"
"LAWA-102586","M36/5128","Nitrate nitrogen","2015-10-15","2019-12-03","5","0.19","0.51"
"LAWA-102586","M36/5128","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102587","M36/5248","Ammoniacal nitrogen","2015-10-13","2019-12-12","5","0.005","0.049"
"LAWA-102587","M36/5248","Chloride","2015-10-13","2019-12-12","5","15.5","19.8"
"LAWA-102587","M36/5248","Dissolved reactive phosphorus","2015-10-13","2019-12-12","5","0.0017","0.0082"
"LAWA-102587","M36/5248","E.coli","2015-10-13","2019-12-12","5","0.5","0.5"
"LAWA-102587","M36/5248","Electrical conductivity/salinity","2015-10-13","2019-12-12","5","221","262"
"LAWA-102587","M36/5248","Nitrate nitrogen","2015-10-13","2019-12-12","5","6.2","8.3"
"LAWA-102587","M36/5248","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102588","M36/5255","Ammoniacal nitrogen","2015-10-13","2019-11-21","5","0.005","0.005"
"LAWA-102588","M36/5255","Chloride","2015-10-13","2019-11-21","5","13.7","15.8"
"LAWA-102588","M36/5255","Dissolved reactive phosphorus","2015-10-13","2019-11-21","5","0.0027","0.0089"
"LAWA-102588","M36/5255","E.coli","2015-10-13","2019-11-21","5","0.5","0.5"
"LAWA-102588","M36/5255","Electrical conductivity/salinity","2015-10-13","2019-11-21","5","185","210"
