"LawaSiteID","CouncilSiteID","Date","Measurement","Value","Agency"
"NRWQN-00056","NAT-NN02","16-Feb-1994","MCI",138,"niwa"
"EBOP-00223","NAT-RO01","16-Feb-1994","MCI",120.555555555556,"niwa"
"NRWQN-00040","NAT-HM01","17-Feb-1994","MCI",130.4,"niwa"
"NRWQN-00042","NAT-HM03","17-Feb-1994","MCI",66.6666666666667,"niwa"
"EBOP-00053","NAT-RO04","17-Feb-1994","MCI",127.037037037037,"niwa"
"NRWQN-00035","NAT-WA02","23-Feb-1994","MCI",132.5,"niwa"
"TRC-00010","NAT-WA03","23-Feb-1994","MCI",86.8,"niwa"
"NRWQN-00011","NAT-GS02","24-Feb-1994","MCI",118.666666666667,"niwa"
"NRWQN-00012","NAT-GS03","24-Feb-1994","MCI",117.333333333333,"niwa"
"NRWQN-00019","NAT-WA04","24-Feb-1994","MCI",98.9473684210526,"niwa"
"HRC-00045","NAT-WA05","24-Feb-1994","MCI",113.809523809524,"niwa"
"NRWQN-00018","NAT-WA06","24-Feb-1994","MCI",106.153846153846,"niwa"
"HRC-00018","NAT-WA07","25-Feb-1994","MCI",105.217391304348,"niwa"
"HRC-00015","NAT-WA08","25-Feb-1994","MCI",97.6470588235294,"niwa"
"HRC-00013","NAT-WA09","25-Feb-1994","MCI",84.5454545454545,"niwa"
"NRWQN-00053","NAT-GY01","28-Feb-1994","MCI",111.428571428571,"niwa"
"NRWQN-00036","NAT-WA01","28-Feb-1994","MCI",65.4545454545455,"niwa"
"NRWQN-00051","NAT-GY02","01-Mar-1994","MCI",114.285714285714,"niwa"
"NRWQN-00052","NAT-GY03","01-Mar-1994","MCI",126.25,"niwa"
"NRWQN-00037","NAT-NN05","04-Mar-1994","MCI",130.454545454545,"niwa"
"NRWQN-00058","NAT-NN03","08-Mar-1994","MCI",125.294117647059,"niwa"
"NRWQN-00006","NAT-TK01","08-Mar-1994","MCI",96.6666666666667,"niwa"
"NRWQN-00007","NAT-TK02","08-Mar-1994","MCI",134.285714285714,"niwa"
"NRWQN-00008","NAT-TK03","08-Mar-1994","MCI",132,"niwa"
"NRWQN-00005","NAT-TK04","08-Mar-1994","MCI",84,"niwa"
"ECAN-10004","NAT-TK05","08-Mar-1994","MCI",121,"niwa"
"NRWQN-00003","NAT-TK06","08-Mar-1994","MCI",91.0526315789474,"niwa"
"MDC-00025","NAT-NN04","09-Mar-1994","MCI",112.352941176471,"niwa"
"EBOP-00048","NAT-RO03","28-Mar-1994","MCI",99.6153846153846,"niwa"
"EBOP-00049","NAT-RO05","29-Mar-1994","MCI",90,"niwa"
"ES-00010","NAT-DN08","05-Apr-1994","MCI",84,"niwa"
"ES-00001","NAT-DN09","05-Apr-1994","MCI",97.5,"niwa"
"NRWQN-00034","NAT-DN10","05-Apr-1994","MCI",45,"niwa"
"ES-00021","NAT-DN05","06-Apr-1994","MCI",106.666666666667,"niwa"
"ES-00024","NAT-DN06","06-Apr-1994","MCI",109.375,"niwa"
"ES-00011","NAT-DN07","06-Apr-1994","MCI",116.428571428571,"niwa"
"NRWQN-00029","NAT-DN01","07-Apr-1994","MCI",88.2352941176471,"niwa"
"NRWQN-00028","NAT-DN02","07-Apr-1994","MCI",129.583333333333,"niwa"
"NRWQN-00026","NAT-DN03","07-Apr-1994","MCI",122.5,"niwa"
"NRWQN-00050","NAT-GY04","12-Apr-1994","MCI",129.166666666667,"niwa"
"NRWQN-00027","NAT-AX04","19-Apr-1994","MCI",73.75,"niwa"
"NRWQN-00032","NAT-AX01","20-Apr-1994","MCI",73.75,"niwa"
"NRWQN-00009","NAT-CH01","20-Apr-1994","MCI",120.526315789474,"niwa"
"NRWQN-00059","NAT-CH02","20-Apr-1994","MCI",113.333333333333,"niwa"
"NRWQN-00030","NAT-AX02","29-Apr-1994","MCI",95.5555555555556,"niwa"
"NRWQN-00031","NAT-AX03","29-Apr-1994","MCI",100,"niwa"
"NRWQN-00005","NAT-TK04","18-Jan-1995","MCI",80,"niwa"
"ECAN-10004","NAT-TK05","18-Jan-1995","MCI",97.6470588235294,"niwa"
"NRWQN-00003","NAT-TK06","18-Jan-1995","MCI",81,"niwa"
"NRWQN-00006","NAT-TK01","19-Jan-1995","MCI",108,"niwa"
"NRWQN-00007","NAT-TK02","20-Jan-1995","MCI",107,"niwa"
"NRWQN-00008","NAT-TK03","20-Jan-1995","MCI",118.823529411765,"niwa"
"NRWQN-00014","NAT-HV03","25-Jan-1995","MCI",100,"niwa"
"HBRC-00043","NAT-HV02","26-Jan-1995","MCI",78.5714285714286,"niwa"
"NRWQN-00017","NAT-HV05","01-Feb-1995","MCI",110,"niwa"
"ES-00010","NAT-DN08","07-Feb-1995","MCI",110.666666666667,"niwa"
