Site code,Date,Alkalinity Total,Ammoniacal nitrogen,Biochemical oxygen demand 5day,Black disc transparency,Conductivity @ 20'C,Dissolved Oxygen,Dissolved Oxygen Saturation %,Dissolved reactive phosphorus,E.coli bacteria,Enterococci bacteria,Faecal Coliforms,Flow,Nitrate nitrogen,pH,Suspended solids,Temperature,Total nitrogen,Total phosphorus,Turbidity,Adj Absorbance 340,Adj Absorbance 440,,Absorbance @ 340nm Filtered,Absorbance @ 440nm Filtered,Absorbance @ 770nm Filtered
PAT000200,10-Jul-96,23,0.006,0.7,4.46,6.6,10.9,94,0.011,,1,3,0.205,0.04,7.4,1,6.3,0.281,0.023,0.8,0.008,0.001,,0.039,0.008,0
PAT000360,10-Jul-96,27,0.081,0.6,2.26,10.1,10.9,97,0.019,,26,120,2.55,0.93,7.6,1,9.1,1.224,0.043,1.4,0.01,0.001,,0.045,0.01,0
PNH000200,10-Jul-96,22,0.011,0.5,2.6,9,11.6,99,0.017,,1,38,0.395,0.08,7.6,1,7.2,0.151,0.033,1.8,0.021,0.004,,0.053,0.011,0
PNH000900,10-Jul-96,31,0.035,0.7,2.93,18.6,11.5,99,0.013,,15,220,0.979,1.46,7.6,1,8.9,1.628,0.033,1.7,0.023,0.003,,0.064,0.013,0.001
STY000300,10-Jul-96,46,0.006,0.5,6.86,11.4,11.5,99,0.011,,1,15,2.968,0.02,8,1,8.1,0.131,0.025,0.5,0.003,0,,0.058,0.012,0
WGG000500,10-Jul-96,29,0.02,0.25,2,12,10.4,93,0.006,,23,170,2.5,1.5,7.6,1,9.2,1.706,0.033,1.8,0.01,0.002,,0.062,0.01,0
WKH000500,10-Jul-96,55,0.015,0.25,3.84,13.8,11.5,99,0.023,,9,49,3.387,0.15,7.9,1,8,0.281,0.037,0.6,0.007,0.001,,0.057,0.011,0
MGH000950,14-Aug-96,25,0.016,0.9,1.2,9.3,11,98,0.004,,11,40,10.1,0.16,7.5,6,9.5,0.331,0.017,4,0.04,0.008,,0.065,0.013,0
MRK000420,14-Aug-96,32,0.02,0.5,2.72,13.3,10.7,97,0.007,,70,350,2.014,1.21,7.5,1,10.5,1.413,0.019,1.6,0.018,0.004,,0.043,0.012,0
PAT000200,14-Aug-96,27,0.004,1.2,3.98,5.7,11.2,97,0.012,,1,4,0.228,0.01,7.4,1,6.7,0.141,0.019,0.8,0.015,0.003,,0.042,0.007,0
PAT000360,14-Aug-96,35,0.044,1,1.98,9.7,11,100,0.014,,23,66,3.25,0.95,7.6,3,9.9,1.29,0.033,1.3,0.013,0.003,,0.054,0.012,0.001
