"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Catchment","Lat","Long","accessDate"
"Lake Wairarapa Middle","lake wairarapa middle","gw-00263","1708","Polymictic","Riverine","wellington","gwrc","unstated",-41.2266738,175.21447038,"14-Aug-2020"
"Whakaki at Outlet","1880","lawa-102707","34665","Icoll","Shoreline","hawkes bay","hbrc","nuhaka",-39.042592406481,177.588669915718,"14-Aug-2020"
"Lake Opouahi Top","5625","hbrc-00170","32478","Stratified","Landslide","hawkes bay","hbrc","waikari",-39.1472928779335,176.835081990947,"14-Aug-2020"
"Lake Tutira Top","5627","hbrc-00176","36981","Stratified","Landslide","hawkes bay","hbrc","waikari",-39.2305969054787,176.89262849435,"14-Aug-2020"
"Lake Waikopiro Top","5628","hbrc-00171","36980","Stratified","Landslide","hawkes bay","hbrc","waikari",-39.2354251740846,176.893826659276,"14-Aug-2020"
"Whakaki Lake 1st Bluff","5631","lawa-100243","34665","Icoll","Shoreline","hawkes bay","hbrc","nuhaka",-39.046629075388,177.562923528718,"14-Aug-2020"
"Whakaki Lake 2nd Bluff","5632","lawa-102706","34665","Icoll","Shoreline","hawkes bay","hbrc","nuhaka",-39.0429571154496,177.545648773471,"14-Aug-2020"
"Lake Orakai at Jetty","8003","lawa-102705","36979","Polymictic","Landslide","hawkes bay","hbrc","waikari",-39.2368565522959,176.888040277231,"14-Aug-2020"
"Omanuka Lagoon (Composite)","omanuka lagoon composite","hrc-00342","5306","Polymictic","Aeolian","manawatu-whanganui","hrc","northern manawatu lakes",-40.32755192,175.3245683,"14-Aug-2020"
"Lake Wiritoa Composite","lake wiritoa composite","hrc-00337","18934","Stratified","Aeolian","manawatu-whanganui","hrc","kaitoke lakes",-39.9736599999999,175.08997,"14-Aug-2020"
"Lake William (Composite)","lake william (composite)","lawa-102308","13437","Polymictic","Aeolian","manawatu-whanganui","hrc","southern whanganui lakes",-40.122894,175.311067,"14-Aug-2020"
"Lake Westmere (Composite)","lake westmere (composite)","hrc-00329","18951","Polymictic","Aeolian","manawatu-whanganui","hrc","coastal whanganui",-40.10135804,175.2806986,"14-Aug-2020"
"Lake Pauri Composite","lake pauri composite","hrc-00335","18933","Stratified","Aeolian","manawatu-whanganui","hrc","kaitoke lakes",-39.97833,175.10087,"14-Aug-2020"
"Lake Koputara (Composite)","lake koputara (composite)","hrc-00341","5008","Polymictic","Aeolian","manawatu-whanganui","hrc","northern manawatu lakes",-40.3999699999999,175.26226,"14-Aug-2020"
