"Lake","FENZID","TLIYear","TLI","MixingPattern","GeomorphicType"
"lake tikitapu site 1",15312,2018,3,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2019,2.7,"Stratified","Volcanic"
"wainono lagoon off lake road",12469,2004,6.6,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2005,6.3,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2006,6.5,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2007,6,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2008,6,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2009,6.3,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2010,6.4,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2011,6,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2012,6.7,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2013,6.2,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2014,7,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2015,7.4,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2016,6.6,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2017,6.7,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2018,6.3,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2019,6.2,"Polymictic","Shoreline"
"lake sumner off charleys point",54738,2004,1.3,"Stratified","Glacial"
"lake sumner off charleys point",54738,2005,1.3,"Stratified","Glacial"
"lake sumner off charleys point",54738,2006,1.5,"Stratified","Glacial"
"lake sumner off charleys point",54738,2007,1.6,"Stratified","Glacial"
"lake sumner off charleys point",54738,2008,2.1,"Stratified","Glacial"
"lake sumner off charleys point",54738,2009,2.3,"Stratified","Glacial"
"lake sumner off charleys point",54738,2010,2.6,"Stratified","Glacial"
"lake sumner off charleys point",54738,2011,2.2,"Stratified","Glacial"
"lake sumner off charleys point",54738,2012,2.2,"Stratified","Glacial"
"lake sumner off charleys point",54738,2013,1.9,"Stratified","Glacial"
"lake sumner off charleys point",54738,2014,1.8,"Stratified","Glacial"
"lake sumner off charleys point",54738,2015,2.1,"Stratified","Glacial"
